ts_utc,call_index,latency_s,http_status,finish_reason,completion_tokens,prompt_tokens,body_bytes,body_preview,error_class,outcome,where_measured,gap_ms,timeout_s,model,endpoint
2026-09-10T18:33:02.981305+00:00,1,0.75,200,length,4,2,465,pong! How can,,success,local-machine,4500,120.0,gemini-3.5-flash-lite,https://generativelanguage.googleapis.com/v1beta/openai/chat/completions
2026-09-10T18:33:08.510927+00:00,2,1.032,200,length,3,2,458,pong! ,,success,local-machine,4500,120.0,gemini-3.5-flash-lite,https://generativelanguage.googleapis.com/v1beta/openai/chat/completions
2026-09-10T18:33:16.978048+00:00,3,3.938,200,length,4,2,465,pong! How can,,success,local-machine,4500,120.0,gemini-3.5-flash-lite,https://generativelanguage.googleapis.com/v1beta/openai/chat/completions
2026-09-10T18:33:22.271852+00:00,4,0.766,200,length,4,2,465,pong! How can,,success,local-machine,4500,120.0,gemini-3.5-flash-lite,https://generativelanguage.googleapis.com/v1beta/openai/chat/completions
2026-09-10T18:33:27.672863+00:00,5,0.891,200,length,4,2,465,pong! How can,,success,local-machine,4500,120.0,gemini-3.5-flash-lite,https://generativelanguage.googleapis.com/v1beta/openai/chat/completions
2026-09-10T18:33:32.899440+00:00,6,0.704,200,length,4,2,465,pong! How can,,success,local-machine,4500,120.0,gemini-3.5-flash-lite,https://generativelanguage.googleapis.com/v1beta/openai/chat/completions
2026-09-10T18:33:40.106989+00:00,7,2.703,200,length,4,2,465,pong! How can,,success,local-machine,4500,120.0,gemini-3.5-flash-lite,https://generativelanguage.googleapis.com/v1beta/openai/chat/completions
2026-09-10T18:33:45.227451+00:00,8,0.61,200,length,4,2,465,pong! How can,,success,local-machine,4500,120.0,gemini-3.5-flash-lite,https://generativelanguage.googleapis.com/v1beta/openai/chat/completions
2026-09-10T18:33:52.158354+00:00,9,2.422,200,length,4,2,465,pong! How can,,success,local-machine,4500,120.0,gemini-3.5-flash-lite,https://generativelanguage.googleapis.com/v1beta/openai/chat/completions
2026-09-10T18:34:00.602129+00:00,10,3.922,200,length,4,2,465,pong! How can,,success,local-machine,4500,120.0,gemini-3.5-flash-lite,https://generativelanguage.googleapis.com/v1beta/openai/chat/completions
