run_id,label,model_tuple,suite_version,prompt_id,category,response_hash,output_length,json_valid,latency_ms,ok,error_class
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v1.0.0-logic,logic_reasoning,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v1.0.0-format,structured_output,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v1.0.0-refusal,refusal_tone,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v1.1.0-toolcall,tool_calling,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-01,logic_reasoning,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-02,logic_reasoning,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-03,logic_reasoning,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-04,logic_reasoning,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-05,logic_reasoning,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-06,logic_reasoning,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-07,logic_reasoning,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-08,logic_reasoning,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-format-01,structured_output,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-format-02,structured_output,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-format-03,structured_output,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-format-04,structured_output,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-format-05,structured_output,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-format-06,structured_output,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-format-07,structured_output,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-format-08,structured_output,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-refusal-01,refusal_tone,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-refusal-02,refusal_tone,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-refusal-03,refusal_tone,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-refusal-04,refusal_tone,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-refusal-05,refusal_tone,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-refusal-06,refusal_tone,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-refusal-07,refusal_tone,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-toolcall-01,tool_calling,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-toolcall-02,tool_calling,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-toolcall-03,tool_calling,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-toolcall-04,tool_calling,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-toolcall-05,tool_calling,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-toolcall-06,tool_calling,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-toolcall-07,tool_calling,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-reason-01,reasoning_length,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-reason-02,reasoning_length,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-reason-03,reasoning_length,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-reason-04,reasoning_length,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-reason-05,reasoning_length,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-reason-06,reasoning_length,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-reason-07,reasoning_length,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-reason-08,reasoning_length,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-multiling-01,multilingual,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-multiling-02,multilingual,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-multiling-03,multilingual,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-multiling-04,multilingual,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-multiling-05,multilingual,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-multiling-06,multilingual,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-multiling-07,multilingual,,,,,false,ProviderError:400
p64-1789830100,p64,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-multiling-08,multilingual,,,,,false,ProviderError:400
